Sample_ID,Target_Index
1,1
2,5
3,4
4,1
5,4
6,20
7,20
8,1
9,20
10,1
11,16
12,3
13,17
14,20
15,2
16,7
17,2
18,19
19,2
20,1
21,20
22,20
23,3
24,1
25,20
26,1
27,1
28,1
29,20
30,6
31,3
32,6
33,6
34,1
35,20
36,3
37,1
38,1
39,1
40,1
41,20
42,1
43,1
44,20
45,1
46,4
47,2
48,20
49,1
50,1
51,1
52,20
53,12
54,20
55,1
56,20
57,20
58,20
59,3
60,20
61,8
62,6
63,1
64,20
65,20
66,20
67,1
68,17
69,1
70,1
71,12
72,2
73,4
74,1
75,4
76,20
77,9
78,1
79,1
80,18
81,2
82,18
83,6
84,20
85,4
86,3
87,20
88,18
89,20
90,16
91,20
92,8
93,12
94,1
95,12
96,1
97,20
98,3
99,20
100,3
101,20
102,20
103,19
104,5
105,20
106,16
107,1
108,20
109,10
110,1
111,10
112,8
113,12
114,19
115,1
116,1
117,2
118,15
119,1
120,6
121,9
122,5
123,20
124,20
125,6
126,7
127,6
128,5
129,20
130,10
131,20
132,5
133,1
134,4
135,1
136,20
137,1
138,19
139,2
140,20
141,3
142,10
143,1
144,20
145,5
146,20
147,20
148,6
149,1
150,1
151,7
152,5
153,14
154,20
155,5
156,20
157,2
158,2
159,1
160,10
161,14
162,20
163,4
164,20
165,6
166,4
167,17
168,9
169,6
170,4
171,19
172,5
173,1
174,1
175,17
176,4
177,1
178,3
179,2
180,1
181,1
182,11
183,20
184,8
185,1
186,20
187,10
188,3
189,12
190,1
191,2
192,20
193,7
194,19
195,1
196,1
197,1
198,3
199,3
200,14
201,20
202,1
203,20
204,1
205,20
206,1
207,8
208,20
209,10
210,2
211,3
212,1
213,1
214,20
215,5
216,1
217,6
218,5
219,17
220,1
221,15
222,2
223,1
224,13
225,7
226,4
227,2
228,1
229,2
230,10
231,1
232,1
233,1
234,2
235,1
236,8
237,1
238,1
