--- SAMPLE 1 ---: [1, 7, 3, 8, 12, 2, 5, 4, 10, 15, 11, 13, 20, 14, 19, 18, 9, 17, 6, 16]

--- SAMPLE 2 ---: [1, 2, 3, 10, 13, 8, 11, 14, 9, 12, 16, 7, 19, 4, 18, 5, 20, 15, 17, 6]

--- SAMPLE 3 ---: [4, 2, 6, 14, 5, 1, 11, 3, 12, 19, 7, 8, 9, 10, 13, 20, 15, 17, 18, 16]

--- SAMPLE 4 ---: [1, 6, 2, 9, 8, 14, 11, 13, 3, 7, 16, 17, 19, 15, 18, 4, 12, 20, 10, 5]

--- SAMPLE 5 ---: [14, 3, 4, 8, 1, 11, 2, 7, 16, 18, 13, 6, 12, 17, 15, 19, 20, 9, 10, 5]

--- SAMPLE 6 ---: [1, 2, 4, 15, 14, 8, 16, 12, 3, 5, 10, 17, 19, 20, 9, 18, 7, 13, 11, 6]

--- SAMPLE 7 ---: [3, 7, 8, 6, 1, 10, 2, 13, 9, 12, 20, 17, 14, 18, 15, 16, 5, 19, 11, 4]

--- SAMPLE 8 ---: [1, 16, 13, 11, 18, 3, 4, 7, 10, 15, 19, 17, 6, 20, 9, 2, 5, 8, 12, 14]

--- SAMPLE 9 ---: [8, 2, 14, 12, 17, 16, 19, 4, 15, 6, 5, 11, 9, 1, 7, 13, 20, 10, 18, 3]

--- SAMPLE 10 ---: [1, 2, 6, 20, 10, 18, 8, 15, 16, 7, 12, 17, 11, 4, 13, 14, 9, 3, 5, 19]

--- SAMPLE 11 ---: [20, 1, 3, 18, 16, 6, 14, 17, 12, 7, 8, 11, 19, 13, 2, 4, 5, 9, 10, 15]

--- SAMPLE 12 ---: [1, 3, 11, 12, 16, 18, 20, 10, 15, 17, 2, 7, 6, 13, 9, 19, 8, 5, 14, 4]

--- SAMPLE 13 ---: [11, 1, 8, 5, 19, 2, 10, 12, 15, 3, 4, 6, 13, 14, 17, 16, 20, 18, 7, 9]

--- SAMPLE 14 ---: [1, 8, 9, 2, 6, 7, 10, 12, 3, 4, 20, 15, 16, 14, 18, 5, 17, 19, 13, 11]

--- SAMPLE 15 ---: [2, 1, 7, 9, 3, 13, 12, 8, 20, 19, 16, 10, 18, 14, 15, 6, 4, 5, 11, 17]

--- SAMPLE 16 ---: [9, 13, 15, 8, 2, 1, 14, 10, 5, 6, 16, 3, 7, 11, 12, 17, 19, 20, 4, 18]

--- SAMPLE 17 ---: [1, 5, 4, 2, 7, 19, 6, 16, 20, 10, 9, 15, 11, 12, 13, 18, 3, 17, 14, 8]

--- SAMPLE 18 ---: [19, 10, 7, 14, 12, 1, 4, 17, 13, 20, 9, 15, 8, 3, 5, 18, 16, 6, 11, 2]

--- SAMPLE 19 ---: [2, 11, 8, 4, 1, 17, 15, 6, 18, 13, 7, 3, 5, 12, 16, 19, 14, 9, 20, 10]

--- SAMPLE 20 ---: [1, 2, 7, 3, 15, 5, 17, 18, 9, 10, 16, 13, 6, 4, 14, 12, 11, 8, 19, 20]

--- SAMPLE 21 ---: [18, 10, 13, 15, 2, 9, 16, 6, 20, 4, 14, 7, 5, 8, 17, 11, 1, 12, 19, 3]

--- SAMPLE 22 ---: [20, 10, 3, 1, 2, 9, 11, 4, 7, 5, 17, 15, 8, 12, 13, 14, 16, 18, 19, 6]

--- SAMPLE 23 ---: [1, 3, 17, 2, 10, 11, 7, 19, 4, 16, 9, 20, 13, 12, 14, 6, 18, 8, 15, 5]

