main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
Cell Phones & Accessories,150pcs Mixed Zinc Plated Carbon Steel Rivet Nut Threaded Rivnut Insert Nutsert M4 / 5 / 6 / 8 / 10,5.0,1,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/61gyCUUr8sL._AC_SL1336_.jpg',
       None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/417G1l4PBhL._AC_.jpg',
       'https://m.media-amazon.com/images/I/31fCIdQEgPL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/417G1l4PBhL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/31fCIdQEgPL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",QuupTen,"['Industrial & Scientific' 'Professional Dental Supplies'
 'Handpieces & Instruments' 'Cheek Retractors']","{""Package Dimensions"": ""4.3 x 3 x 0.8 inches"", ""Item Weight"": ""14.1 ounces"", ""Is Discontinued By Manufacturer"": ""No"", ""Other display features"": ""Wireless"", ""Manufacturer"": ""QuupTen"", ""Date First Available"": ""September 20, 2017""}",B01LX8LTPS,,,
Cell Phones & Accessories,"SELTERM 25pcs 4 AWG 3/8"" Stud Battery Lugs, Ring Terminals, Heavy Duty Copper Wire Lugs, Battery Cable Ends, 4 Guage Ring Terminal Connectors, UL Bare Copper Eyelets Electrical Battery Cable Lugs",4.7,10722,"['PACKAGE CONTENTS: 25 PCS. of Heavy Duty Bare Copper 4 Gauge (AWG) 3/8"" Ring Battery Terminal Connectors / Lugs. 100% annealed copper, providing a high degree of conductivity for maximum current flow when used as battery terminals.'
 'DURABILITY: Approved by OEMs, our electrical wire ring connectors are designed with a heavy duty construction for high temperature durability and enhanced mechanical strength.'
 ""WIDE APPLICATIONS: Selterm copper lugs wire connectors have a close end pad design, keeping electrical components, battery and ring terminals safe and act as waterproof wire connectors which prevents solder from leaking during installation of lugs or while using as a heat shrink wire connectors for your battery in Solar Panel system, Golf Carts, Power Inverter, RV's, Marine, Home appliances, DIY Electrical wiring, Automotive and other equipment.""
 'PERFECT FIT: Selterm provides freedom to choose from a wide range of wire sizes, stud sizes, and pack quantities from 2 - 25 pcs. best suitable for all requirements and applications as battery connectors. Superior material quality of copper terminals lugs can be crimped or soldered. Use with a compatible copper cable; Audio wire may not be a direct fit. Recommend to check product dimensions to ensure a proper fit of the connectors.'
 'HEAVY DUTY WIRE LUGS: Our ring terminal connectors are tested to meet S.A.E conductivity standards J163 & J1811; UL listed to U.S. & Canadian safety standards and rated to 600V+ when properly installed; RoHS & REACH compliant; These Battery Wire Connectors are listed under UL File Number E254830.']",[],17.29,"{'hi_res': array(['https://m.media-amazon.com/images/I/615zYK9z+FL._AC_SL1200_.jpg',
       'https://m.media-amazon.com/images/I/81p+W-VzD-L._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81yK8p3wORL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/91zVioLAfSL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81EmjlZZjEL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/91StxD-lRFL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/917sr4T9+7L._AC_SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/410JRUVy7SL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51Q6epdY6hL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41gHxysjNQL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51Y3vItAf8L._AC_.jpg',
       'https://m.media-amazon.com/images/I/51-SRD4J51L._AC_.jpg',
       'https://m.media-amazon.com/images/I/511x0q4JWsL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51HpPeAFKJL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/410JRUVy7SL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51Q6epdY6hL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41gHxysjNQL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51Y3vItAf8L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51-SRD4J51L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/511x0q4JWsL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51HpPeAFKJL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array(['Honest Review of 4/0 Copper Lugs',
       'Honest Review of 2 AWG Copper Lugs',
       'Our Point of View on SELTERM Heavy Duty Wire Lugs',
       'Honest Review of 2/0 Copper Lugs',
       'SELTERM Heavy Duty Bare Copper Battery Cable Lugs',
       'The Bare Copper Battery Cable Lugs',
       'RIOCAN Copper Wire Lug 8, 6, 4, 2, 1, 0, 00, 000, 0000 Gauge',
       'RIOCAN Heavy Duty Copper Cable Ring Terminal Lugs 8-4-0AWG'],
      dtype=object), 'url': array(['https://www.amazon.com/vdp/015cdded9a4e40d4acee0f92849756c0?ref=dp_vse_rvc_0',
       'https://www.amazon.com/vdp/02ee406f9a8249ac81b1182ef7f55c59?ref=dp_vse_rvc_1',
       'https://www.amazon.com/vdp/01963698cf6b4c039d938879fbb3ebb7?ref=dp_vse_rvc_2',
       'https://www.amazon.com/vdp/01a23001d1b242d99611e5c6fec32a9d?ref=dp_vse_rvc_3',
       'https://www.amazon.com/vdp/00617cc407494c8aaad98475d85d6e9f?ref=dp_vse_rvc_4',
       'https://www.amazon.com/vdp/034e88345a9b4e0aa6d863f7b17d8a7d?ref=dp_vse_rvc_5',
       'https://www.amazon.com/vdp/0a3f5ef7dd2445d89c1e493d0fb456ab?ref=dp_vse_rvc_6',
       'https://www.amazon.com/vdp/02f13462154f48c6a24841f3ca9e232d?ref=dp_vse_rvc_7'],
      dtype=object), 'user_id': array(['/shop/influencer-2305e589', '/shop/influencer-2305e589',
       '/shop/influencer-20a38664', '/shop/influencer-2305e589', '', '',
       '', ''], dtype=object)}",SELTERM,"['Industrial & Scientific' 'Industrial Electrical' 'Wiring & Connecting'
 'Terminals' 'Ring']","{""Color"": ""Copper"", ""Gauge"": ""4 AWG"", ""Connector Type"": ""Ring, Crimp"", ""Contact Material"": ""Copper"", ""Insulation Material"": ""Non-Insulated"", ""Stud Size"": ""3/8"", ""Terminal"": ""Ring Terminal"", ""Material"": ""Copper"", ""Brand"": ""SELTERM"", ""Temperature Rating"": ""221 degree celsius"", ""Upper Temperature Rating"": ""90 Degrees Celsius"", ""Maximum Voltage"": ""600 Volts (DC)"", ""Product Dimensions"": ""5 x 5 x 2 inches"", ""Item Weight"": ""6.4 ounces"", ""Item model number"": ""MDS0438U"", ""Best Sellers Rank"": {""Industrial & Scientific"": 1160, ""Ring Terminals"": 5}, ""Other display features"": ""Wireless"", ""Manufacturer"": ""SELTERM"", ""Country of Origin"": ""India"", ""Date First Available"": ""March 14, 2017""}",B0BGLW86W9,,,
Cell Phones & Accessories,Ultra ULT40460 - CD/DVD sleeve - capacity: 1 CD/DVD (pack of 50 ),5.0,1,[],[],None,"{'hi_res': array([None, None, None, None, None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31Nghxm4FRL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51yC2rFULLL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51SrZBd5R2L._AC_.jpg',
       'https://m.media-amazon.com/images/I/514Mij+JtbL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51tIxUuyv2L._AC_.jpg',
       'https://m.media-amazon.com/images/I/317sI1g+fiL._AC_.jpg',
       'https://m.media-amazon.com/images/I/414HhLd2I-L._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31Nghxm4FRL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51yC2rFULLL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51SrZBd5R2L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/514Mij+JtbL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51tIxUuyv2L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/317sI1g+fiL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/414HhLd2I-L._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Live2Pedal,"['Industrial & Scientific' 'Professional Dental Supplies'
 'Handpieces & Instruments' 'Cheek Retractors']","{""Other display features"": ""Wireless"", ""Color"": ""Clear746"", ""Manufacturer"": ""Live2Pedal"", ""Date First Available"": ""May 10, 2010""}",B002MA875G,,,
Cell Phones & Accessories,Veewon 400 Tie-points Solderless Prototype Breadboard PCB Experiment Test Circuit Board,5.0,1,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/61EZUz7J3uL._AC_SL1001_.jpg',
       None, None,
       'https://m.media-amazon.com/images/I/613cHbxphEL._AC_SL1348_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/516GrizlCPL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41iVUCmaENL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41VAnkgXfrL._AC_.jpg',
       'https://m.media-amazon.com/images/I/418K-BFBbUL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/516GrizlCPL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41iVUCmaENL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41VAnkgXfrL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/418K-BFBbUL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Barbato,"['Industrial & Scientific' 'Industrial Electrical'
 'Semiconductor Products' 'Interfaces' 'Prototyping Boards & Accessories']","{""Product Dimensions"": ""3.3 x 0.8 x 2.1 inches"", ""Item Weight"": ""0.353 ounces"", ""Item model number"": ""5315461"", ""Other display features"": ""Wireless"", ""Color"": ""white-va"", ""Manufacturer"": ""Barbato"", ""Date First Available"": ""December 24, 2016""}",B00OP65SWK,,,
Cell Phones & Accessories,"TyhoTech Borescope Camera Case for Depstech WIFI Endoscope, also for Goodan Wireless & USB Endoscope, Shekar, Pancellent, Fantronics, Sokos (Black)",3.8,3,"['Borescope Inspection Camera Carrying and Protection Case for Depstech USB Endoscope, Wireless Endoscope and other brands like Goodan, Shekar, Pancellent, Fantronics, Sokos, BlueFire with Smart Divider with Elastic Strap Holder for USB, Side View Mirror and mesh pouch for accessories'
 ""Inner Mesh Pouch for Accessories Safely, Then You Don't Worry About Losing Your Sid View Mirror, USB and Other Accessories""
 'Super Soft Fleece Pouch Giving Sufficient Protection and Best User Experience'
 'Simple and Elegant Design Combined with Dedicated Protection and Care, Easy and Convenient to Use.Size: 6.5*5.12*2.76 Inch'
 ""If You Don't Want to Take A Mess Endoscope Cable, It Is Really A Wonderful Storage Bag for Endoscope.(Endoscope Not Include)""]","['Strong hard zipper case designed for Endoscope Portable Backup Inner mesh pouch for accessories safely  Featured Black Ballistics Surface and Velvet Lining  Black surface with matching Black Zipper Super soft Fleece pouch giving sufficient protection and best user experience  Simple and elegant design combined with dedicated protection and care, easy and convenient to use  Water resistant design  Protection case only, Endoscope and accessories are exclusive for reference only Size: 6.5*5.12*2.76inch']",None,"{'hi_res': array(['https://m.media-amazon.com/images/I/81Y9SYvU40L._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81meJJMGurL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81hcmX9ZTKL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81b68rv9GsL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81cEFpVlbAL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81dKVxtTt8L._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71V6jRTVedL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81Ol6FkNyPL._AC_SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51L4+ABkn1L._AC_.jpg',
       'https://m.media-amazon.com/images/I/51AxsUmtgqL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51G41hAiEsL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51sUGPZmQhL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51DRRu9JrCL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51ZiuluOX4L._AC_.jpg',
       'https://m.media-amazon.com/images/I/416hQrkMzML._AC_.jpg',
       'https://m.media-amazon.com/images/I/51UINr-vi6L._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51L4+ABkn1L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51AxsUmtgqL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51G41hAiEsL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51sUGPZmQhL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51DRRu9JrCL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51ZiuluOX4L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/416hQrkMzML._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51UINr-vi6L._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",TyhoTech,"['Industrial & Scientific' 'Test, Measure & Inspect'
 'Inspection & Analysis' 'Borescopes']","{""Product Dimensions"": ""6.69 x 5.12 x 2.76 inches"", ""Item Weight"": ""90 Grams"", ""Best Sellers Rank"": {""Industrial & Scientific"": 378688, ""Borescopes"": 732}, ""Is Discontinued By Manufacturer"": ""No"", ""Connectivity technologies"": ""USB"", ""Other display features"": ""Wireless"", ""Color"": ""WIFI"", ""Manufacturer"": ""TyhoTech"", ""Date First Available"": ""October 26, 2017"", ""Water Resistance Level"": ""Water Resistant"", ""Connectivity Technology"": ""USB"", ""Brand"": ""TyhoTech""}",B076VKVBS7,,,
Cell Phones & Accessories,"Block-It Pocket Anti-Spying, RF/EMF Radiation Protection Bag/Case/Pouch (Black)",3.9,20,"['Blocks remote NSA style spying, industrial espionage, location tracking.'
 'Blocks constant pings to cell phone towers. GPS signals. that can give constantly track your location.'
 ""Blocks scanning and use of your phone's microphone, cameras, NFC, Bluethooth, and Wifi connections""
 'silver impregnated, creates Faraday cage to block signals.'
 'Made in the USA']","['the Block-it Pocket works! Block-it Pocket incorporates this technology to maximize the protection each product is intended to provide. Extensive testing has proven that Block-it Pocket works! Many people also do not know that virtually all new devices can be accessed remotely, even with the device powered off and the battery removed! Provides shielding from: Microwaves, RFs, EMFs, E-Fields and more. You will not receive calls, texts or email while storing in the pocket but all of your messages will be waiting for you when you need them. While we cannot guarantee 100% shielding/blocking 100% of the time due to potential damage or misuse, we have had 100% success in all controlled tests! Eliminates outside entities from tracking or hacking you! Simply Turing off phone or removing battery does not protect you, most phones have internal backup battery. Avoid annoying phone calls or texts at just the wrong moment! No more damaging radiation while carrying your device! Provides Protection From EMPs! Protects RFID Passports, Credit Cards and Transponders! Water Resistant! Machine Washable - gentle. this case has the dimensions 3-1/2""x5-1/2"". it will fit most phones such as S3, S4, S5 etc Also available in larger size for larger devices, or with larger cases.']",None,"{'hi_res': array(['https://m.media-amazon.com/images/I/91Is0cS4rtL._AC_SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61UEWmc+rDL._AC_SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51fX-Jcf3-L._AC_.jpg',
       'https://m.media-amazon.com/images/I/41poVcHe49L._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51fX-Jcf3-L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41poVcHe49L._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Block-it Pocket,"['Industrial & Scientific' 'Occupational Health & Safety Products'
 'Hazardous Material Handling' 'Radiation Protection Supplies']","{""Product Dimensions"": ""6.75 x 3.75 x 1 inches"", ""Item Weight"": ""2.4 ounces"", ""Item model number"": ""BIP-block-it-pocket-01"", ""Best Sellers Rank"": {""Industrial & Scientific"": 572087, ""Lab Radiation Protection Supplies"": 575}, ""Is Discontinued By Manufacturer"": ""No"", ""Special features"": ""Card Slot"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Pouch"", ""Color"": ""Black"", ""Manufacturer"": ""Block-it Pocket"", ""Date First Available"": ""June 30, 2014"", ""Brand"": ""Block-it Pocket"", ""Compatible Phone Models"": ""S3, S4, S5, S6, Iphone"", ""Pattern"": ""Solid""}",B00LE5O2EU,,,
Cell Phones & Accessories,"LiteXim Cellphone Inspection camera, 7mm 5M 2MP Endoscope Digital Inspection camera for Android Smartphone with OTG and UVC Function, Compatible with PC",3.5,14,"['The Digital cellphone inspection camera capture snapshot image or video with 640x480 high resolution.'
 '2 Million pixels super Hi-vision CMOS camera with 7mm diameter. Easy to install program and take photo/record video.'
 'Configure a flexible Waterproof camera with 6 adjustable LED lights, fully competent for different usage such as inspect area under water, dark gaps and holes.'
 'The Newest Android Endoscope can take photo, video and sound recording, and the photos and video file will directly stored in your Android mobile phone, the whole process of record check, convenient observation and follow-up analysis.'
 'Ideal for intraoral camera system, underwater camera, waterproof Micro-cameras, motor vehicle detector, search and rescue, criminal and custom detector, archaeological detect, the PCB detection, home care, aviation and space industries etc.']",[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/61Sf1AV+eFL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/71zd9UxxbtL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/61kwCFwv1zL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/61ABrg0uWVL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/61eBgshxstL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/612J+24Z5gL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/61zecxWVMUL._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/715lcYhib0L._AC_SL1300_.jpg',
       'https://m.media-amazon.com/images/I/61Sf1AV+eFL._AC_SL1300_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41cveEmFx2L._AC_.jpg',
       'https://m.media-amazon.com/images/I/51fsAR54llL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41p6Btf+ZcL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41zh4SRcr2L._AC_.jpg',
       'https://m.media-amazon.com/images/I/41lBDecms2L._AC_.jpg',
       'https://m.media-amazon.com/images/I/41Fc-qKHNEL._AC_.jpg',
       'https://m.media-amazon.com/images/I/31aLd-kgceL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51dP7oVVbhL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41cveEmFx2L._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41cveEmFx2L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51fsAR54llL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41p6Btf+ZcL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41zh4SRcr2L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41lBDecms2L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41Fc-qKHNEL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/31aLd-kgceL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51dP7oVVbhL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41cveEmFx2L._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",LiteXim,"['Industrial & Scientific' 'Test, Measure & Inspect'
 'Inspection & Analysis' 'Borescopes']","{""Package Dimensions"": ""4.8 x 4.8 x 2 inches"", ""Item Weight"": ""8 ounces"", ""Is Discontinued By Manufacturer"": ""No"", ""Other display features"": ""Wireless"", ""Color"": ""7mm diameter 5m cable"", ""Manufacturer"": ""Best-Choose"", ""Date First Available"": ""October 4, 2016""}",B01M1NMUBK,,,
Cell Phones & Accessories,uxcell 50 Pcs PC PCB Motherboard Brass Standoff Hexagonal Spacer M3 7 4mm,5.0,6,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/61U2Z2Kxz8L._AC_SL1100_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51Ly+tuLVpL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51Ly+tuLVpL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",uxcell,['Industrial & Scientific' 'Fasteners' 'Bolts'],"{""Package Dimensions"": ""4.6 x 4 x 0.01 inches"", ""Item Weight"": ""2.08 ounces"", ""Item model number"": ""a14040700ux0322"", ""Other display features"": ""Wireless"", ""Manufacturer"": ""uxcell"", ""Date First Available"": ""August 9, 2014"", ""Material"": ""Brass"", ""Thread Size"": ""M3"", ""Exterior Finish"": ""Brass"", ""Fastener Type"": ""Hexagon Bolt"", ""Brand"": ""uxcell""}",B00MJU92CG,,,
Cell Phones & Accessories,Live2Pedal Phone Cables 4Pack White,5.0,1,[],[],None,"{'hi_res': array([None, None, None, None, None, None, None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51JjNKO1beL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51UjGklW7oL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51lgAzZChHL._AC_.jpg',
       'https://m.media-amazon.com/images/I/41N-9Q+uZGL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51mFPsVGTOL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51qUe4Pp0ML._AC_.jpg',
       'https://m.media-amazon.com/images/I/51AnT4Wx3XL._AC_.jpg',
       'https://m.media-amazon.com/images/I/51h+zGH8NgL._AC_.jpg',
       'https://m.media-amazon.com/images/I/31yk7x4GtNL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51JjNKO1beL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51UjGklW7oL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51lgAzZChHL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41N-9Q+uZGL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51mFPsVGTOL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51qUe4Pp0ML._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51AnT4Wx3XL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/51h+zGH8NgL._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/31yk7x4GtNL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Live2Pedal,"['Industrial & Scientific' 'Professional Dental Supplies'
 'Handpieces & Instruments' 'Cheek Retractors']","{""Other display features"": ""Wireless"", ""Color"": ""Clear738"", ""Manufacturer"": ""Live2Pedal"", ""Date First Available"": ""October 10, 2013""}",B002VBEBI8,,,
Cell Phones & Accessories,10M USB 6 LED Waterproof Borescope Endoscope Inspection Snake Tube Camera,2.0,3,"['Color: Black.' 'Pixels: 300000 pixels.'
 'LED: 6 White LED bright lights.' 'Brightness: Auto'
 'Exposed control: Auto']",['Image format: VGA/QVGA. Image resolution: Up to 640*480. Frame rate: 30 fps. USB interface: USB 2.0/1.1 Waterproof level: IP66. LED: 6 White LED bright lights. Brightness: Auto Exposed control: Auto Temperture: Up to 80¡æ Package include: 1 x USB Endoscope 1 x CD 1 x English user manual'],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71AxvOWMpQL._AC_SL1200_.jpg',
       'https://m.media-amazon.com/images/I/61uy5GGT7cL._AC_SL1200_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51baqeGoZ5L._AC_.jpg',
       'https://m.media-amazon.com/images/I/41qrreIuoPL._AC_.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51baqeGoZ5L._AC_SR38,50_.jpg',
       'https://m.media-amazon.com/images/I/41qrreIuoPL._AC_SR38,50_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",GoodsGood,['Industrial & Scientific' 'B2B'],"{""Package Dimensions"": ""6.4 x 5.6 x 1.8 inches"", ""Item Weight"": ""13.6 ounces"", ""Other display features"": ""Wireless"", ""Color"": ""Black head 6Led"", ""Manufacturer"": ""GoodsGood Co., LTD"", ""Date First Available"": ""August 4, 2014""}",B00MEDNLCA,,,
