Sample_ID,Target_Index
1,20
2,20
3,1
4,1
5,1
6,20
7,20
8,3
9,4
10,2
11,1
12,5
13,6
14,3
15,6
16,2
17,1
18,1
19,20
20,1
21,5
22,2
23,1
24,7
25,7
26,20
27,9
28,3
29,1
30,2
31,2
32,20
33,20
34,5
35,1
36,1
37,20
38,6
39,12
40,6
41,1
42,20
43,20
44,4
45,20
46,8
47,20
48,2
49,1
50,11
51,8
52,5
53,2
54,20
55,1
56,1
57,1
58,20
59,2
60,20
61,1
62,1
63,20
64,1
65,1
66,1
67,1
68,1
69,20
70,2
71,1
72,20
73,20
74,1
75,1
76,1
77,1
78,20
79,20
80,1
81,20
82,1
83,20
84,3
85,20
86,2
87,13
88,20
89,1
90,1
91,1
92,8
93,20
94,1
95,1
96,5
97,20
98,20
99,2
100,20
101,4
102,3
103,2
104,4
105,1
106,1
107,6
108,2
109,1
110,6
111,20
112,3
113,6
114,1
115,2
116,20
117,20
118,20
119,1
120,1
121,1
122,5
123,16
124,2
125,20
126,20
127,1
128,20
129,1
130,2
131,2
132,20
133,20
134,17
135,5
136,3
137,1
138,2
139,7
140,1
141,3
142,1
143,1
144,3
145,1
146,1
147,6
148,15
149,3
150,3
151,2
152,1
153,1
154,20
155,1
156,7
157,20
158,1
159,20
160,20
161,3
162,20
163,15
164,2
165,15
166,3
167,20
168,14
169,20
170,20
171,20
172,1
173,20
174,2
175,20
176,14
177,20
178,20
179,7
180,3
181,7
182,2
183,20
184,6
185,3
186,1
187,1
188,1
189,20
190,17
191,2
192,2
193,20
194,1
195,2
196,1
197,4
198,20
199,1
200,18
201,1
202,1
203,20
204,20
205,1
206,2
207,1
208,6
209,20
210,4
211,4
212,4
213,3
214,11
215,19
216,1
217,2
218,1
219,9
220,11
221,19
222,11
223,5
224,20
225,20
226,20
227,7
228,2
229,20
230,20
231,2
232,20
233,20
234,20
235,20
236,2
237,1
238,2
239,20
240,14
241,2
242,1
243,20
244,2
245,1
246,1
247,17
248,20
249,1
250,20
251,19
252,1
253,4
254,1
255,20
256,20
257,1
258,20
259,1
260,1
261,1
262,4
263,1
264,2
265,1
266,4
267,20
268,1
269,1
270,20
271,4
272,5
273,14
274,1
275,1
276,20
277,20
278,11
279,3
280,20
281,4
282,2
283,20
284,2
285,1
286,1
287,20
288,6
289,2
290,1
291,1
292,2
293,3
294,20
295,1
296,3
297,7
298,1
299,20
300,1
301,4
302,9
303,4
304,19
305,3
306,20
307,18
308,20
309,7
310,1
311,7
312,17
313,1
314,12
315,20
316,11
317,7
318,1
319,2
320,20
321,20
322,20
323,1
324,20
325,20
326,20
327,20
328,20
329,20
330,8
331,5
332,4
333,1
334,20
335,20
336,20
337,20
338,20
339,18
340,20
341,3
342,2
343,20
344,20
345,20
346,16
347,20
348,1
349,14
350,20
351,13
352,6
353,20
354,20
355,6
356,20
357,20
358,20
359,20
360,2
361,15
362,3
