Sample_ID,Target_Index
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,8
11,20
12,6
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
26,8
27,20
28,4
29,20
30,20
31,20
32,20
33,20
34,20
35,20
36,20
37,20
38,14
39,20
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,5
48,20
49,20
50,14
51,13
52,20
53,19
54,20
55,20
56,3
57,17
58,20
59,2
60,20
61,20
62,6
63,20
64,20
65,20
66,17
67,20
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,13
81,20
82,20
83,5
84,20
85,20
86,20
87,20
88,20
89,20
90,20
91,16
92,20
93,20
94,20
95,10
96,3
97,20
98,8
99,20
100,18
101,20
102,20
103,20
104,20
105,17
106,20
107,20
108,1
109,20
110,3
111,20
112,20
113,20
114,20
115,8
116,20
117,12
118,10
119,20
120,20
121,15
122,20
123,20
124,20
125,2
126,20
127,20
128,20
129,20
130,19
131,20
132,20
133,20
134,1
135,4
136,20
137,20
138,4
139,16
140,20
141,20
142,20
143,20
144,20
145,17
146,20
147,20
148,11
149,20
150,20
151,20
152,20
153,20
154,20
155,5
156,20
157,20
158,19
159,12
160,20
161,20
162,20
163,20
164,20
165,20
166,20
167,20
168,20
169,16
170,20
171,20
172,20
173,20
174,20
175,20
176,20
177,20
178,2
179,20
180,20
181,20
182,20
183,20
184,20
185,10
186,16
187,6
188,6
189,20
190,20
191,20
192,20
193,20
194,20
195,5
196,20
197,20
198,20
199,20
200,20
201,8
202,20
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,20
211,9
212,20
213,20
214,20
215,20
216,9
217,20
218,20
219,20
220,20
221,11
222,3
223,20
224,20
225,20
226,20
227,20
228,1
229,10
230,14
231,13
232,20
233,9
234,3
235,10
236,12
237,20
238,20
239,10
240,20
241,20
242,14
243,20
244,20
245,20
246,20
247,20
248,20
249,20
250,4
251,20
252,20
253,20
254,20
255,9
256,20
257,20
258,20
259,6
260,20
261,6
262,7
263,20
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,20
272,20
273,15
274,20
275,20
276,20
277,14
278,20
279,20
280,20
281,20
282,20
283,18
284,20
285,4
286,20
287,20
288,20
289,4
290,20
291,20
292,15
293,20
294,20
295,20
296,20
297,20
298,11
299,20
300,13
301,20
302,20
303,20
304,12
305,15
306,20
307,20
308,5
309,20
310,20
311,20
312,20
313,20
314,20
315,20
316,20
317,4
318,20
319,1
320,20
321,20
322,1
323,17
324,20
325,20
326,16
327,20
328,20
329,20
330,20
331,4
332,20
333,20
334,20
335,20
336,20
337,20
338,20
339,8
340,20
341,20
342,20
343,5
344,20
345,20
346,20
347,3
348,20
349,20
350,20
351,20
352,20
353,17
354,4
355,20
356,20
357,10
358,20
359,20
360,20
361,20
362,20
